Geneid	/data/users/jgroff/DE_RNA_Seq/03_Map_reads//SRR7821918.sorted.bam	/data/users/jgroff/DE_RNA_Seq/03_Map_reads//SRR7821919.sorted.bam	/data/users/jgroff/DE_RNA_Seq/03_Map_reads//SRR7821920.sorted.bam	/data/users/jgroff/DE_RNA_Seq/03_Map_reads//SRR7821921.sorted.bam	/data/users/jgroff/DE_RNA_Seq/03_Map_reads//SRR7821922.sorted.bam	/data/users/jgroff/DE_RNA_Seq/03_Map_reads//SRR7821937.sorted.bam	/data/users/jgroff/DE_RNA_Seq/03_Map_reads//SRR7821938.sorted.bam	/data/users/jgroff/DE_RNA_Seq/03_Map_reads//SRR7821939.sorted.bam	/data/users/jgroff/DE_RNA_Seq/03_Map_reads//SRR7821949.sorted.bam	/data/users/jgroff/DE_RNA_Seq/03_Map_reads//SRR7821950.sorted.bam	/data/users/jgroff/DE_RNA_Seq/03_Map_reads//SRR7821951.sorted.bam	/data/users/jgroff/DE_RNA_Seq/03_Map_reads//SRR7821952.sorted.bam	/data/users/jgroff/DE_RNA_Seq/03_Map_reads//SRR7821953.sorted.bam	/data/users/jgroff/DE_RNA_Seq/03_Map_reads//SRR7821968.sorted.bam	/data/users/jgroff/DE_RNA_Seq/03_Map_reads//SRR7821969.sorted.bam	/data/users/jgroff/DE_RNA_Seq/03_Map_reads//SRR7821970.sorted.bam
ENSMUSG00002075225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000038702	407	419	377	399	453	698	257	822	28	40	60	50	58	35	28	40
ENSMUSG00000101875	0	0	0	2	0	0	0	1	0	0	0	1	0	0	0	0
ENSMUSG00000099732	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000101220	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100020	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000101054	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000088691	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000099884	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100304	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000101453	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000099943	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00002075119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000097648	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000101687	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ENSMUSG00000100515	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000033021	1262	1351	1097	1422	1279	1583	2182	1655	1373	1030	1482	1132	961	488	279	384
ENSMUSG00000055214	1	2	4	5	3	0	10	3	0	0	0	0	0	4	0	0
ENSMUSG00000078184	9	7	10	2	5	2	11	7	7	8	7	3	5	1	0	0
ENSMUSG00000104363	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103277	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000104157	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
ENSMUSG00000102446	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000104248	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000104021	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103471	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000087875	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000033007	0	0	0	0	0	3	1	2	0	0	0	0	0	0	0	0
ENSMUSG00000102605	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0
ENSMUSG00000070695	0	0	0	1	0	3	0	3	0	0	0	0	0	0	0	0
ENSMUSG00000025909	20	11	13	15	11	8	6	22	0	0	0	0	1	6	0	11
ENSMUSG00002076179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102033	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102647	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000086235	3	1	5	4	8	7	8	7	1	1	1	2	1	10	2	1
ENSMUSG00000102253	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00002074990	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000094429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000101154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103884	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000065865	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000084353	27	27	17	31	22	6	0	21	16	21	25	10	21	0	3	1
ENSMUSG00002076328	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103933	3	1	1	0	0	1	2	1	0	0	3	2	0	3	0	0
ENSMUSG00000101573	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00002075967	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0
ENSMUSG00000086195	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000107979	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000101373	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000104504	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000099615	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000066693	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100265	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103819	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100527	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102871	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000099571	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000101571	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
ENSMUSG00000104428	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000101303	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102272	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100305	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000065625	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000099534	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103411	2	1	5	2	1	5	0	12	0	0	0	0	0	0	0	0
ENSMUSG00000100886	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000101415	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000061024	697	814	593	855	802	565	637	613	614	483	538	406	317	185	136	143
ENSMUSG00000100617	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100177	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000101363	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000101590	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102030	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000099870	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000026374	1924	1812	1648	2136	1875	2725	2426	3028	1148	879	1230	996	746	735	378	563
ENSMUSG00000026377	775	790	574	885	798	828	782	1011	761	587	798	545	501	391	185	358
ENSMUSG00000099936	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0
ENSMUSG00000025911	748	571	581	766	621	888	624	748	32	43	57	61	38	106	4	15
ENSMUSG00000081441	7	11	18	13	14	17	8	13	3	0	2	1	0	0	0	0
ENSMUSG00000067879	2	0	0	0	0	4	7	8	0	0	0	0	0	0	0	0
ENSMUSG00000099827	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000057335	1565	2009	1868	2422	1968	1861	1125	2498	1763	1179	1942	1485	1115	1350	366	812
ENSMUSG00000103634	2	0	1	2	0	0	0	0	1	0	2	0	0	0	1	0
ENSMUSG00000104154	1	1	6	2	1	2	0	0	7	0	8	1	4	2	1	0
ENSMUSG00000103435	0	0	0	0	0	0	0	0	0	0	2	3	0	0	0	0
ENSMUSG00000065573	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00002076271	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100551	10	6	6	11	7	5	3	5	1	2	1	2	1	1	0	0
ENSMUSG00000100357	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000025912	64	127	117	150	103	74	30	95	93	31	93	58	47	34	3	13
ENSMUSG00000045210	2380	2558	2532	3104	2544	1696	987	2196	2330	1602	2731	1967	1481	1082	494	872
ENSMUSG00000041763	2071	2600	2278	2927	2679	2223	875	2768	2479	1939	2749	2368	1847	1044	363	754
ENSMUSG00000026504	570	596	571	617	507	534	522	670	551	450	623	421	330	246	103	144
ENSMUSG00000103367	1	4	3	0	0	0	0	3	30	8	18	2	26	0	6	0
ENSMUSG00000103584	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
ENSMUSG00002076339	0	0	0	0	0	0	0	0	0	3	0	0	1	0	0	0
ENSMUSG00000102475	0	2	4	2	0	0	0	0	0	1	0	2	2	0	0	0
ENSMUSG00000047343	0	2	3	3	1	0	0	0	0	0	0	3	0	2	0	0
ENSMUSG00000102211	9	9	2	9	5	24	18	16	2	5	2	3	5	3	0	5
ENSMUSG00000087082	0	1	2	2	1	1	1	0	0	0	1	0	0	0	0	0
ENSMUSG00000090106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103251	0	0	4	0	1	1	0	1	0	0	1	1	1	0	0	4
ENSMUSG00000091844	1	20	11	21	15	12	4	15	17	6	4	9	10	41	9	17
ENSMUSG00000026483	3106	3423	3124	3732	3809	4277	3562	4502	2983	1988	3063	1897	1558	910	484	675
ENSMUSG00000082528	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000082012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000099996	0	0	0	1	1	0	0	3	0	0	0	0	0	0	0	0
ENSMUSG00000101763	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100827	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100553	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
ENSMUSG00000098611	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100534	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102904	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
